track,artist,album,popularity,loudness,danceability
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",Flower Boy,92,7KA4W4McWYRpgf0fWsJZWB
Dark Red,Steve Lacy,Dark Red,86,3EaJDYHA0KnX88JvDhL9oa
Pink + White,Frank Ocean,Blonde,88,3xKsf9qdS1CyvXSMEid6g8
Lovers Rock,TV Girl,French Exit,88,6dBUzqjtbnIa1TwYbyw5CM
Something About You,"Eyedress, Dent May",Mulholland Drive,83,6RiiSy9GzSwiyDEJDiMuKe
Good Looking,Suki Waterhouse,Good Looking,83,0j3mqDTK4Z6lvrLzFCUUz6
Not Allowed,TV Girl,Who Really Cares,85,3IznIgmXtrUaoPWpQTy5jB
Always Forever,Cults,Static,81,2enPRFda84VE2wtI8c86Uf
we fell in love in october,girl in red,we fell in love in october / October Passed Me By,84,6IPwKM3fUUzlElbvKw2sKl
Romantic Homicide,d4vd,Romantic Homicide,86,1xK59OXxi2TAAAbmZK0kBL
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,72,0SpkyS1Q4MD8GaVcP5YjT4
Wasted Summers,juju<3,Wasted Summers,78,43MifzVnh8W3jJN0xqU9jR
From the Subway Train,Vansire,Angel Youth,70,0qOCy2LqvdkMora7eZsJhQ
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",81,7yNf9YjeO5JXUE3JEBgnYc
Hell N Back (feat. Summer Walker),"Bakar, Summer Walker",Halo,75,0jcw8cJf3TNMZN0BXlueML
double take,Dhruv,double take,72,47isJpIIO8m7BJEhiFhnaf
obsessed,Olivia Rodrigo,GUTS (spilled),78,6tNgRQ0K2NYZ0Rb9l9DzL8
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",Paradise Again,81,0VO8gYVDSwM1Qdd2GsMoYK
Fever,"Sherwyn, Sariah Mae",Fever,50,4O3KRX2Ba4wmt6W7ijs4FA
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,18,7fzHQizxTqy8wTXwlrgPQQ
Shut up My Moms Calling,Hotel Ugly,Shut up My Moms Calling,86,3hxIUxnT27p5WcmjGUXNwx
I Love You So,The Walters,I Love You So,88,4SqWKzw0CbA05TGszDgMlc
Jalebi Baby (Tesher x Jason Derulo),"Tesher, Jason Derulo",Jalebi Baby (Tesher x Jason Derulo),68,6FvSS3Goz7OC8oCC2eWqe8
Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",Best Friend (feat. Doja Cat),67,2etHQJxIbV0soyPhelVs9Y
Teach Me How to Dougie,Cali Swag District,The Kickback,70,61LtVmmkGr8P9I2tSPvdpf
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",FutureSex/LoveSounds,83,0O45fw2L5vsWpdsOdXwNAR
Hurt You,"The Weeknd, Gesaffelstein","My Dear Melancholy,",72,6QdnKD1zwEgyOWtkrdzlOF
Spanish Moss,Bathe,Bicoastal,44,4gUJQufKwncuTBUSRWUNQ6
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,Ivory,77,2TktkzfozZifbQhXjT6I33
Island In The Sun,Weezer,Weezer,81,2MLHyLy5z5l5YRp7momlgw
Gilded Lily,Cults,Offering,80,3Z0qLOS0cqWKPHXkbTXmNF
Never Felt So Alone,Labrinth,Never Felt So Alone,70,2NbsBSshscKIPRG3kwBbfo
rosyln (slowed + reverb),"creamy, 11:11 Music Group",rosyln (slowed + reverb),53,2oPbfMcJUWpvanDtfz7RWx
Lights Are On,Tom Rosenthal,Z-Sides,78,4IhTXiZLKATmwhMZIb1GQN
The Motto,"Drake, Lil Wayne",Take Care (Deluxe),75,4Kz4RdRCceaA9VgTqBhBfa
Moonlight,Kali Uchis,Moonlight,76,2i2gDpKKWjvnRTOZRhaPh2
euphoria,Kendrick Lamar,euphoria,82,77DRzu7ERs0TX3roZcre7Q
pink dress,Humble the Great,every night was the same,49,4UYMPoAzPFMkWUYa5t5Fpb
Tom's Diner,"AnnenMayKantereit, Giant Rooks",Tom's Diner,75,0oA9wBGDY4uyILLg4GymWP
L’AMOUR DE MA VIE,Billie Eilish,HIT ME HARD AND SOFT,84,6fPan2saHdFaIHuTSatORv
Pretty Please,Dua Lipa,Future Nostalgia,65,6DXZiYUbrYgrVIhfX3U9Z2
UP!,"Forrest Frank, Connor Price",UP!,70,50utqknCBo0N3QAQbXIPKV
You Know How We Do It,Ice Cube,Greatest Hits,69,67ncYmW29pNJJY2yXuLPwT
Lonely,Akon,Trouble Deluxe Edition,80,4v7DCN09hgXkKazefkznDQ
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",An Evening With Silk Sonic,71,4pryE6cN2gFL1FVF5fYINl
Creep,Radiohead,Pablo Honey,89,70LcF31zb1H0PyJoS1Sx1r
BILLIE EILISH.,Armani White,BILLIE EILISH.,67,27ZZdyTSQWI7Cug2d2PkqV
Back On 74,Jungle,Volcano,82,19kHhX6f6EfLU7rcO3RqjO
L.M.F.,Smino,NOIR,48,2KmYPKHvwG77NAcDpFlLBm
Is It a Crime,Sade,The Best of Sade,66,1SvET7grrtsHT0CkyJjJcZ
Lover,Taylor Swift,Lover,85,1dGr1c8CrMLDpV6mPbImSI
Baby I'm Yours,Arctic Monkeys,Leave Before The Lights Come On,71,0SzvmWfOhoxZVGrmvb56YL
RATATA,"Skrillex, Missy Elliott, Mr. Oizo",Quest For Fire,68,4wteGC0HtLeZWjDcczc4Pw
Wildest Dreams,Taylor Swift,1989,75,3fVnlF4pGqWI9flVENcT28
"After The Storm (feat. Tyler, The Creator & Bootsy Collins)","Kali Uchis, Tyler, The Creator, Bootsy Collins",Isolation,82,1otG6j1WHNvl9WgXLWkHTo
Kiss Me More (feat. SZA),"Doja Cat, SZA",Kiss Me More (feat. SZA),50,748mdHapucXQri7IAO8yFK
Woman,Doja Cat,Planet Her,83,6Uj1ctrBOjOas8xZXGqKk4
Paint The Town Red,Doja Cat,Scarlet,77,56y1jOTK0XSvJzVv9vHQBK
Nice to Meet You,Imagine Dragons,Nice to Meet You,4,7sxb5C2mE0l5xfSL9M2hxQ
i like the way you kiss me,Artemas,i like the way you kiss me,84,2GxrNKugF82CnoRFbQfzPf
Bongo Cha Cha Cha,Goodboys,Bongo Cha Cha Cha,59,7J4zszAZxAyowZp7gNUIUI
Hipcats,"ATFC, David Penn",Hipcats,49,38HvJkH21S2bRciZHohv68
You've Got Me Where You Want Me,Bakermat,The Spirit,43,1SrBzl0mFMatzMv3bzGnvu
The Time (Dirty Bit),Black Eyed Peas,The Beginning (Deluxe),74,7vWFaMq63AwkFDhS2OAg5u
